objName,stdId,stdFlavor,ra,dec,v,bv,u,g,r,i,z,ue,ge,re,ie,ze
G93-48,613,0,328.10575351911905,2.387164230222222,12.653,-0.308,12.76,12.653,12.961,13.268,13.529,0.005,0.004,0.004,0.002,0.012
41_654,614,1,328.4692903436226,45.55212674666667,10.65,0.6,10.04,10.04,10.04,10.04,10.04,0.0,0.0,0.0,0.0,0.0
41_182,615,1,328.55251571294934,45.24330501027778,10.3,0.37,9.93,9.93,9.93,9.93,9.93,0.0,0.0,0.0,0.0,0.0
41_204,616,1,328.63172,45.23075,12.28,1.2,11.09,11.09,11.09,11.09,11.09,0.0,0.0,0.0,0.0,0.0
BD+25o4655,617,0,329.92471242932197,26.432416328888888,9.45,-0.479,9.023,9.45,9.929,10.304,10.632,0.003,0.002,0.002,0.002,0.003
ugrizJ220054.9-600257,618,0,330.228792,-60.049278,13.234,0.436,14.597,13.234,12.798,12.663,12.638,0.004,0.005,0.003,0.003,0.005
ugrizJ220057.5-300039,619,0,330.239667,-30.011083,13.117,0.283,14.226,13.117,12.834,12.772,12.78,0.004,0.002,0.002,0.003,0.003
ugrizJ220110.6-300511,620,0,330.294292,-30.086583,13.072,0.379,14.301,13.072,12.693,12.581,12.575,0.005,0.003,0.002,0.003,0.004
Hilt1089,621,0,332.36109,57.86342,11.191,0.552,12.703,11.191,10.639,10.45,10.377,0.004,0.001,0.001,0.001,0.002
BD+17o4708,622,0,332.8831597075706,18.09309997288889,9.64,0.29,10.56,9.64,9.35,9.25,9.23,0.001,0.001,0.001,0.001,0.001
BD-11o5781,623,0,333.2958883012362,-11.177979763666666,9.898,0.72,11.864,9.898,9.178,8.942,8.812,0.007,0.005,0.004,0.003,0.004
114_531,624,0,340.15317,0.86539,12.42,0.54,13.839,12.42,11.88,11.693,11.613,0.01,0.002,0.002,0.002,0.004
114_654,625,0,340.35894,1.16971,12.121,0.449,13.519,12.121,11.672,11.535,11.495,0.004,0.001,0.001,0.001,0.002
114_656,626,0,340.39602,1.18599,13.082,0.756,15.043,13.082,12.326,12.033,11.877,0.008,0.002,0.001,0.002,0.004
114_548,627,0,340.40338,0.98491,12.255,1.12,15.401,12.255,11.135,10.693,10.441,0.009,0.002,0.003,0.001,0.003
114_750,628,0,340.43651,1.21019,11.809,-0.212,12.357,11.809,12.021,12.251,12.414,0.005,0.002,0.002,0.002,0.003
E9_28-V,629,0,341.15196,-44.61094,10.853,0.797,13.118,10.853,10.056,9.773,9.633,0.007,0.006,0.003,0.002,0.004
G27-45,630,0,341.23788551682685,-2.354791598,11.785,0.503,12.896,11.785,11.282,11.089,11.008,0.003,0.002,0.002,0.002,0.002
E9_47-U,631,0,341.27604,-44.647,10.923,0.381,12.138,10.923,10.542,10.43,10.409,0.009,0.004,0.004,0.003,0.004
E9_q,632,0,341.357,-44.46319,15.513,0.502,16.936,15.513,15.011,14.865,14.804,0.014,0.004,0.005,0.003,0.006
E9_n,633,0,341.378583,-44.495278,14.963,0.38,16.065,14.963,14.583,14.46,14.435,0.004,0.002,0.003,0.002,0.005
ugrizJ224538.2-442831,634,0,341.409542,-44.475389,13.774,0.479,15.102,13.774,13.295,13.127,13.06,0.004,0.002,0.001,0.001,0.002
E9_s,635,0,341.42587,-44.41147,15.785,0.353,16.811,15.785,15.432,15.31,15.265,0.013,0.003,0.004,0.004,0.011
E9_k,636,0,341.43571,-44.50606,14.194,0.363,15.271,14.194,13.831,13.716,13.688,0.01,0.002,0.001,0.002,0.002
ugrizJ224551.6-442534,637,0,341.465167,-44.426278,14.306,0.673,16.241,14.306,13.633,13.426,13.329,0.005,0.004,0.002,0.002,0.003
Ross786,638,0,347.38592412486685,0.7053584805555556,10.246,0.54,11.467,10.246,9.706,9.482,9.389,0.005,0.004,0.003,0.003,0.003
GD246,639,0,348.0896,10.78467,12.842,-0.504,12.351,12.842,13.346,13.724,14.091,0.004,0.002,0.001,0.003,0.005
